"","KR","NT","err.Theta.RPC","err.F.RPC","K.0","K.1","K.2","K.3","K.4","R.0","R.1","R.2","R.3","R.4"
"43","(0, 2)","(20, 200)",0,0.633335429631261,100,0,0,0,0,0,9,91,0,0
"44","","",0,0.633335429631261,100,0,0,0,0,1,18,81,0,0
"49","","(50, 200)",0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"50","","",0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"55","","(100, 200)",0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"56","","",0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"61","","(200, 200)",0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"62","","",0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"67","","(200, 20)",0,0.208333384845302,100,0,0,0,0,0,18,82,0,0
"68","","",0,0.208333384845302,100,0,0,0,0,5,33,62,0,0
"73","","(200, 50)",0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"74","","",0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"79","","(200, 100)",0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"80","","",0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"85","(2, 0)","(20, 200)",0.145884804229918,0,0,1,99,0,0,100,0,0,0,0
"86","","",0.145884804229918,0,0,3,97,0,0,100,0,0,0,0
"91","","(50, 200)",0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"92","","",0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"97","","(100, 200)",0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"98","","",0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"103","","(200, 200)",0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"104","","",0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"109","","(200, 20)",0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"110","","",0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"115","","(200, 50)",0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"116","","",0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"121","","(200, 100)",0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"122","","",0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"127","(0, 0)","(20, 200)",0,0,100,0,0,0,0,100,0,0,0,0
"128","","",0,0,100,0,0,0,0,100,0,0,0,0
"133","","(50, 200)",0,0,100,0,0,0,0,100,0,0,0,0
"134","","",0,0,100,0,0,0,0,100,0,0,0,0
"139","","(100, 200)",0,0,100,0,0,0,0,100,0,0,0,0
"140","","",0,0,100,0,0,0,0,100,0,0,0,0
"145","","(200, 200)",0,0,100,0,0,0,0,100,0,0,0,0
"146","","",0,0,100,0,0,0,0,100,0,0,0,0
"151","","(200, 20)",0,0,100,0,0,0,0,100,0,0,0,0
"152","","",0,0,100,0,0,0,0,100,0,0,0,0
"157","","(200, 50)",0,0,100,0,0,0,0,100,0,0,0,0
"158","","",0,0,100,0,0,0,0,100,0,0,0,0
"163","","(200, 100)",0,0,100,0,0,0,0,100,0,0,0,0
"164","","",0,0,100,0,0,0,0,100,0,0,0,0
